Vocabulary Size:  27710
Total number of model parameters: 31.56M
| epoch   4 |  6500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.11 | ppl   166.25
| epoch   4 |  7000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.12 | ppl   166.77
| epoch   4 |  7500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.09 | ppl   161.59
| epoch   4 |  8000/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.16 | ppl   174.13
| epoch   4 |  8500/15983 batches | lr 2.00 | ms/batch  4.86 | loss  5.09 | ppl   163.09
| epoch   4 |  9000/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.04 | ppl   155.23
| epoch   4 |  9500/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.06 | ppl   157.72
| epoch   4 | 10000/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.05 | ppl   156.55
| epoch   4 | 10500/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.10 | ppl   164.15
| epoch   4 | 11000/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.12 | ppl   166.66
| epoch   4 | 11500/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.08 | ppl   159.98
| epoch   4 | 12000/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.07 | ppl   158.77
| epoch   4 | 12500/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.04 | ppl   154.05
| epoch   4 | 13000/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.05 | ppl   155.74
| epoch   4 | 13500/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.07 | ppl   159.18
| epoch   4 | 14000/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.10 | ppl   163.31
| epoch   4 | 14500/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.02 | ppl   150.84
| epoch   4 | 15000/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.01 | ppl   150.26
| epoch   4 | 15500/15983 batches | lr 2.00 | ms/batch  4.87 | loss  5.02 | ppl   151.20
