Vocabulary Size:  27710
Total number of model parameters: 28.46M
| epoch   5 |  1000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.11 | ppl   165.52
| epoch   5 |  1500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.15 | ppl   172.03
| epoch   5 |  2000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.07 | ppl   159.57
| epoch   5 |  2500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.03 | ppl   152.88
| epoch   5 |  3000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.09 | ppl   162.65
| epoch   5 |  3500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.11 | ppl   165.22
| epoch   5 |  4000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.11 | ppl   165.38
| epoch   5 |  4500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.12 | ppl   166.87
| epoch   5 |  5000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.12 | ppl   166.86
| epoch   5 |  5500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.11 | ppl   165.74
| epoch   5 |  6000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.13 | ppl   169.67
| epoch   5 |  6500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.08 | ppl   161.26
| epoch   5 |  7000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.09 | ppl   161.69
| epoch   5 |  7500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.05 | ppl   156.57
| epoch   5 |  8000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.13 | ppl   169.20
| epoch   5 |  8500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.07 | ppl   158.75
| epoch   5 |  9000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.02 | ppl   152.03
| epoch   5 |  9500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.04 | ppl   154.18
| epoch   5 | 10000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.03 | ppl   152.71
| epoch   5 | 10500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.08 | ppl   160.47
| epoch   5 | 11000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.10 | ppl   163.26
| epoch   5 | 11500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.05 | ppl   156.56
| epoch   5 | 12000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.05 | ppl   155.75
| epoch   5 | 12500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.01 | ppl   150.49
| epoch   5 | 13000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.03 | ppl   152.92
| epoch   5 | 13500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.05 | ppl   156.56
| epoch   5 | 14000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.07 | ppl   159.94
| epoch   5 | 14500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.00 | ppl   149.00
| epoch   5 | 15000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.00 | ppl   148.80
| epoch   5 | 15500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.01 | ppl   149.83
-----------------------------------------------------------------------------------------
| end of epoch   5 | time: 73.93s | valid loss  5.19 | valid ppl   179.54
-----------------------------------------------------------------------------------------
| epoch   6 |   500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.06 | ppl   156.93
| epoch   6 |  1000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.06 | ppl   158.13
| epoch   6 |  1500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.10 | ppl   163.41
| epoch   6 |  2000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.02 | ppl   151.72
| epoch   6 |  2500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  4.99 | ppl   146.98
| epoch   6 |  3000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.05 | ppl   155.81
| epoch   6 |  3500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.07 | ppl   158.48
| epoch   6 |  4000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.06 | ppl   158.21
| epoch   6 |  4500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.07 | ppl   159.26
| epoch   6 |  5000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.07 | ppl   159.54
| epoch   6 |  5500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.07 | ppl   158.88
| epoch   6 |  6000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.09 | ppl   162.14
| epoch   6 |  6500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.04 | ppl   154.11
| epoch   6 |  7000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.04 | ppl   154.81
| epoch   6 |  7500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.01 | ppl   150.36
| epoch   6 |  8000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.08 | ppl   161.57
| epoch   6 |  8500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.02 | ppl   151.85
| epoch   6 |  9000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  4.98 | ppl   145.85
