Vocabulary Size:  27710
Total number of model parameters: 18.10M
| epoch   5 |  2000/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.89 | ppl   132.35
| epoch   5 |  2500/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.86 | ppl   129.14
| epoch   5 |  3000/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.91 | ppl   136.07
| epoch   5 |  3500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.93 | ppl   138.08
| epoch   5 |  4000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.92 | ppl   137.65
| epoch   5 |  4500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.93 | ppl   138.32
| epoch   5 |  5000/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.93 | ppl   139.02
| epoch   5 |  5500/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.93 | ppl   139.05
| epoch   5 |  6000/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.96 | ppl   142.19
| epoch   5 |  6500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.90 | ppl   134.67
| epoch   5 |  7000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.90 | ppl   134.82
| epoch   5 |  7500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.88 | ppl   131.69
| epoch   5 |  8000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.95 | ppl   141.24
| epoch   5 |  8500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.89 | ppl   133.35
| epoch   5 |  9000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.85 | ppl   127.95
| epoch   5 |  9500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.86 | ppl   129.25
| epoch   5 | 10000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.85 | ppl   127.58
| epoch   5 | 10500/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.90 | ppl   134.42
| epoch   5 | 11000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.92 | ppl   136.80
| epoch   5 | 11500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.88 | ppl   131.78
| epoch   5 | 12000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.88 | ppl   131.59
| epoch   5 | 12500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.85 | ppl   127.16
| epoch   5 | 13000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.86 | ppl   129.02
| epoch   5 | 13500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.88 | ppl   131.20
| epoch   5 | 14000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.90 | ppl   134.16
| epoch   5 | 14500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.84 | ppl   126.81
| epoch   5 | 15000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.85 | ppl   127.72
| epoch   5 | 15500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.84 | ppl   126.95
-----------------------------------------------------------------------------------------
| end of epoch   5 | time: 79.04s | valid loss  5.13 | valid ppl   168.61
-----------------------------------------------------------------------------------------
| epoch   6 |   500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  4.88 | ppl   131.87
| epoch   6 |  1000/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.89 | ppl   132.74
| epoch   6 |  1500/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.91 | ppl   135.42
| epoch   6 |  2000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.84 | ppl   126.39
| epoch   6 |  2500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.82 | ppl   124.56
| epoch   6 |  3000/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.87 | ppl   130.72
| epoch   6 |  3500/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.89 | ppl   132.39
| epoch   6 |  4000/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.88 | ppl   131.50
| epoch   6 |  4500/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.89 | ppl   132.43
| epoch   6 |  5000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.90 | ppl   133.74
| epoch   6 |  5500/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.90 | ppl   134.08
| epoch   6 |  6000/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.92 | ppl   136.96
| epoch   6 |  6500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.86 | ppl   129.47
| epoch   6 |  7000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.87 | ppl   129.87
| epoch   6 |  7500/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.84 | ppl   126.39
| epoch   6 |  8000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.91 | ppl   135.72
| epoch   6 |  8500/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.85 | ppl   128.29
| epoch   6 |  9000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.82 | ppl   123.47
| epoch   6 |  9500/15983 batches | lr 2.00 | ms/batch  4.92 | loss  4.83 | ppl   124.60
| epoch   6 | 10000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.81 | ppl   122.87
| epoch   6 | 10500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.87 | ppl   130.31
| epoch   6 | 11000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.88 | ppl   131.91
