Vocabulary Size:  27710
Total number of model parameters: 11.27M
| epoch   5 | 11500/15983 batches | lr 5.00 | ms/batch 321.93 | loss  7.35 | ppl  1552.46
| epoch   5 | 12000/15983 batches | lr 5.00 | ms/batch 327.21 | loss  7.31 | ppl  1500.66
| epoch   5 | 12500/15983 batches | lr 5.00 | ms/batch 322.70 | loss  7.29 | ppl  1467.08
| epoch   5 | 13000/15983 batches | lr 5.00 | ms/batch 326.44 | loss  7.34 | ppl  1534.01
| epoch   5 | 13500/15983 batches | lr 5.00 | ms/batch 327.92 | loss  7.35 | ppl  1549.46
| epoch   5 | 14000/15983 batches | lr 5.00 | ms/batch 327.21 | loss  7.35 | ppl  1563.33
| epoch   5 | 14500/15983 batches | lr 5.00 | ms/batch 327.96 | loss  7.26 | ppl  1423.35
| epoch   5 | 15000/15983 batches | lr 5.00 | ms/batch 328.36 | loss  7.27 | ppl  1433.60
| epoch   5 | 15500/15983 batches | lr 5.00 | ms/batch 328.72 | loss  7.28 | ppl  1445.29
-----------------------------------------------------------------------------------------
| end of epoch   5 | time: 5207.24s | valid loss  7.34 | valid ppl  1541.33
-----------------------------------------------------------------------------------------
| epoch   6 |   500/15983 batches | lr 5.00 | ms/batch 321.87 | loss  7.38 | ppl  1597.55
| epoch   6 |  1000/15983 batches | lr 5.00 | ms/batch 322.09 | loss  7.37 | ppl  1595.43
| epoch   6 |  1500/15983 batches | lr 5.00 | ms/batch 321.63 | loss  7.40 | ppl  1633.57
| epoch   6 |  2000/15983 batches | lr 5.00 | ms/batch 321.75 | loss  7.35 | ppl  1550.05
| epoch   6 |  2500/15983 batches | lr 5.00 | ms/batch 322.18 | loss  7.26 | ppl  1429.26
| epoch   6 |  3000/15983 batches | lr 5.00 | ms/batch 321.45 | loss  7.35 | ppl  1551.17
| epoch   6 |  3500/15983 batches | lr 5.00 | ms/batch 321.99 | loss  7.36 | ppl  1566.41
| epoch   6 |  4000/15983 batches | lr 5.00 | ms/batch 321.69 | loss  7.39 | ppl  1626.71
| epoch   6 |  4500/15983 batches | lr 5.00 | ms/batch 321.11 | loss  7.40 | ppl  1628.63
| epoch   6 |  5000/15983 batches | lr 5.00 | ms/batch 320.95 | loss  7.42 | ppl  1664.25
| epoch   6 |  5500/15983 batches | lr 5.00 | ms/batch 321.64 | loss  7.37 | ppl  1589.26
| epoch   6 |  6000/15983 batches | lr 5.00 | ms/batch 321.21 | loss  7.38 | ppl  1601.27
| epoch   6 |  6500/15983 batches | lr 5.00 | ms/batch 321.53 | loss  7.37 | ppl  1579.93
| epoch   6 |  7000/15983 batches | lr 5.00 | ms/batch 321.29 | loss  7.38 | ppl  1605.91
| epoch   6 |  7500/15983 batches | lr 5.00 | ms/batch 321.47 | loss  7.35 | ppl  1553.66
| epoch   6 |  8000/15983 batches | lr 5.00 | ms/batch 322.65 | loss  7.41 | ppl  1655.44
| epoch   6 |  8500/15983 batches | lr 5.00 | ms/batch 323.04 | loss  7.35 | ppl  1553.86
| epoch   6 |  9000/15983 batches | lr 5.00 | ms/batch 322.40 | loss  7.31 | ppl  1492.48
| epoch   6 |  9500/15983 batches | lr 5.00 | ms/batch 321.67 | loss  7.35 | ppl  1555.10
| epoch   6 | 10000/15983 batches | lr 5.00 | ms/batch 320.69 | loss  7.34 | ppl  1540.34
| epoch   6 | 10500/15983 batches | lr 5.00 | ms/batch 321.27 | loss  7.34 | ppl  1548.18
| epoch   6 | 11000/15983 batches | lr 5.00 | ms/batch 320.68 | loss  7.36 | ppl  1576.08
| epoch   6 | 11500/15983 batches | lr 5.00 | ms/batch 320.13 | loss  7.33 | ppl  1532.08
| epoch   6 | 12000/15983 batches | lr 5.00 | ms/batch 319.97 | loss  7.31 | ppl  1488.34
| epoch   6 | 12500/15983 batches | lr 5.00 | ms/batch 320.33 | loss  7.29 | ppl  1461.31
| epoch   6 | 13000/15983 batches | lr 5.00 | ms/batch 321.77 | loss  7.32 | ppl  1508.20
| epoch   6 | 13500/15983 batches | lr 5.00 | ms/batch 321.73 | loss  7.33 | ppl  1532.55
| epoch   6 | 14000/15983 batches | lr 5.00 | ms/batch 321.90 | loss  7.34 | ppl  1548.35
| epoch   6 | 14500/15983 batches | lr 5.00 | ms/batch 321.31 | loss  7.26 | ppl  1420.94
| epoch   6 | 15000/15983 batches | lr 5.00 | ms/batch 322.29 | loss  7.27 | ppl  1439.20
| epoch   6 | 15500/15983 batches | lr 5.00 | ms/batch 321.72 | loss  7.28 | ppl  1449.35
-----------------------------------------------------------------------------------------
| end of epoch   6 | time: 5156.46s | valid loss  7.38 | valid ppl  1596.62
-----------------------------------------------------------------------------------------
=========================================================================================
| End of training | test loss  7.42 | test ppl  1676.66
=========================================================================================
